Nama Mesin;Tanggal - Jam;Durasi
Tombol32;21/12/2017 03:08:40;00:00:12
Tombol11;21/12/2017 03:08:40;00:00:09
18A-POLY;21/12/2017 03:08:40;00:00:03
Tombol31;21/12/2017 03:08:40;00:00:13
Tombol8;21/12/2017 03:04:14;00:00:21
Tombol8;21/12/2017 03:00:46;00:02:09
Tombol12;21/12/2017 01:37:34;00:00:38
Tombol10;21/12/2017 01:37:27;00:00:00
Tombol32;21/12/2017 01:37:25;00:00:01
Tombol10;21/12/2017 01:37:21;00:00:01
Tombol10;21/12/2017 01:37:07;00:00:05
Tombol10;21/12/2017 01:36:57;00:00:04
Tombol10;21/12/2017 01:28:41;00:00:05
Tombol34;21/12/2017 01:28:41;00:00:12
Tombol7;21/12/2017 01:28:41;00:00:12
Tombol32;21/12/2017 01:24:31;00:00:02
Tombol32;21/12/2017 01:23:45;00:00:33
Tombol12;21/12/2017 01:23:25;00:00:10
Tombol32;21/12/2017 01:23:25;00:00:06
Tombol8;21/12/2017 01:23:25;00:00:09
Tombol7;21/12/2017 01:22:08;00:00:17
Tombol10;21/12/2017 01:22:08;00:00:16
Tombol9;21/12/2017 01:22:08;00:00:03
Tombol34;21/12/2017 01:22:08;00:00:16
Tombol34;21/12/2017 01:21:48;00:00:02
Tombol34;21/12/2017 01:21:16;00:00:18
Tombol10;21/12/2017 01:21:16;00:00:12
Tombol7;21/12/2017 01:21:16;00:00:14
Tombol10;21/12/2017 01:18:53;00:00:08
CV3;12/20/2017 12:19:50;00:00:10
